鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大安區,房地(土地+建物)+車位,臺北市大安區杭州南路二段25巷31~60號,19.58,住,,,1051224,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081206.0,170.04000000000005,2,2,2,有,無,47890000,347823.0,坡道平面,44.43,4200000,,RPQNMLTLMHPFFFA78CA
大安區,房地(土地+建物)+車位,臺北市大安區杭州南路二段25巷31~60號,37.96,住,,,1060316,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081206.0,338.4500000000001,3,2,2,有,無,93900000,347370.0,坡道平面,88.86,7200000,"本案為預售,雨遮不計價",RPRNMLTLMHPFFFA88CA
大安區,房地(土地+建物)+車位,臺北市大安區杭州南路二段25巷31~60號,37.96,住,,,1060316,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081206.0,338.4500000000001,3,2,2,有,無,93900000,347370.0,坡道平面,88.86,7200000,"本案為預售,雨遮不計價",RPSNMLTLMHPFFFA98CA
大安區,房地(土地+建物),臺北市大安區忠孝東路三段211~240號,22.58,住,,,1090319,土地2建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423.0,125.71,2,1,2,有,有,28000000,222735.0,,0.0,0,,RPTNMLNKNHPFFFA48CA
大安區,房地(土地+建物)+車位,臺北市大安區忠孝東路四段151~180號,22.86,商,,,1090114,土地1建物1車位1,八層，陽台,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,651027.0,200.44,3,2,2,有,有,46380000,273504.0,坡道平面,43.66,3500000,含增建或未登記建物。,RPPOMLMLMHPFFFA18DA
大安區,房地(土地+建物),臺北市大安區和平東路二段311巷43弄1~30號,24.93,住,,,1090308,土地1建物1車位0,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740522.0,127.0,3,2,2,有,有,26100000,205512.0,,0.0,0,含增建或未登記建物。,RPQNMLMJNHPFFFA08DA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,12.99,商,,,1090324,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,171.82,3,2,2,有,有,29280000,204771.0,坡道平面,41.04,2500000,含增建或未登記建物。,RPWRMLLLMHPFFCA78DA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路31~60號,9.25,商,,,1090112,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000422.0,135.93,2,2,2,有,有,24200000,179920.0,坡道機械,11.43,1800000,,RPSQMLLLMHPFFBA18DA
士林區,房地(土地+建物)+車位,臺北市士林區中正路655巷1~30號,22.62,住,,,1090320,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030606.0,153.64,3,2,2,有,有,20800000,135381.0,坡道平面,30.52,0,,RPPOMLMLMHPFFEA97CA
大同區,房地(土地+建物)+車位,臺北市大同區南京西路181~210號,15.82,商,,,1090312,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980512.0,157.17,4,2,2,有,有,27600000,176994.0,塔式車位,10.95,1720000,,RPXNMLRJNHPFFBA78CA
