鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楠梓區,房地(土地+建物),高雄市楠梓區安泰街31~60號,95.0,住,,,1090326,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840401,253.97,5,3,4,有,無,8000000,31500,,0.0,0,含增建或未登記建物。;,RPXOMLLLMHPFFEE09CA
楠梓區,房地(土地+建物),高雄市楠梓區金富街91~120號,11.08,住,,,1090327,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090108,72.52,2,1,1,有,有,3230000,44539,,0.0,0,,RPOPMLLLMHPFFEE28CA
左營區,房地(土地+建物),高雄市左營區重惠街121~150號,7.85,商,,,1090321,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890503,82.28,2,1,1,有,有,3600000,43753,,0.0,0,,RPOOMLLLMHPFFEE18CA
楠梓區,房地(土地+建物),高雄市楠梓區壽民路31~60號,37.42,住,,,1090325,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670920,82.52,4,0,4,有,無,3350000,40596,,0.0,0,,RPROMLLLMHPFFEE48CA
三民區,房地(土地+建物),高雄市三民區大德街61~90號,8.76,住,,,1090308,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050216,76.74000000000001,2,1,1,有,有,4700000,61246,,0.0,0,,RPSNMLLJNHPFFDE28CA
三民區,房地(土地+建物),高雄市三民區河北一路241~270號,3.04,商,,,1090330,土地2建物1車位0,五層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0690718,23.73,1,1,1,有,有,650000,27391,,0.0,0,,RPTNMLLJNHPFFDE38CA
三民區,房地(土地+建物)+車位,高雄市三民區明哲路31~60號,20.74,住,,,1090206,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821126,184.82999999999998,4,2,2,有,有,8300000,44906,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLMKNHPFFDE09CA
三民區,房地(土地+建物)+車位,高雄市三民區明愛街31~60號,16.27,住,,,1090103,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1071222,165.11,3,2,2,有,有,16490000,101309,坡道平面,23.07,2100000,,RPRQMLOKNHPFFDE88CA
三民區,房地(土地+建物)+車位,高雄市三民區建興路31~60號,1.77,商,,,1090407,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,28.51,0,0,0,無,有,1400000,0,坡道平面,28.51,1400000,單獨車位交易。;,RPWNMLSKNHPFFDE86CA
三民區,房地(土地+建物),高雄市三民區大豐一路89巷71弄1~30號,41.73,住,,,1090319,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680106,85.7,3,2,2,有,無,2150000,25088,,0.0,0,,RPSOMLNLMHPFFDE68CA
三民區,房地(土地+建物),高雄市三民區新民路163巷1~30號,84.73,住,,,1090213,土地1建物1車位0,全,二層,透天厝,,加強磚造,0640408,70.14,4,2,2,有,無,6200000,88395,,0.0,0,含增建或未登記建物。;,RPTNMLOLMHPFFDE78CA
三民區,房地(土地+建物),高雄市三民區九如二路1~30號,13.51,商,,,1090330,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790116,174.98,3,2,2,有,有,6880000,39319,,0.0,0,,RPQPMLOLMHPFFDE68CA
三民區,房地(土地+建物),高雄市三民區建國二路190巷1~30號,58.0,商,,,1090203,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),,加強磚造,0560411,107.96,0,3,3,有,無,8800000,81512,,0.0,0,含增建或未登記建物。;,RPPNMLPLMHPFFDE48CA
三民區,房地(土地+建物),高雄市三民區正忠路351巷1~30號,9.79,商,,,1090320,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030815,81.83,2,2,1,有,有,4680000,57192,,0.0,0,,RPTOMLLLMHPFFDE58CA
三民區,土地,鼎金段481~510地號,23.32,其他,,,1090401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,352654,15122,,0.0,0,包含公共設施保留地之交易。;,RPWNMLMLMHPFFDE88CA
三民區,房地(土地+建物)+車位,高雄市三民區寶業里褒揚東街1~30號,42.34,住,,,1090316,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031110,268.86,4,2,2,有,有,10700000,39798,坡道平面,64.64,0,親友、員工或其他特殊關係間之交易。;,RPSOMLMLMHPFFDE58CA
三民區,房地(土地+建物),高雄市三民區裕誠路61~90號,12.65,住,,,1090330,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860709,124.69,3,2,2,有,有,5700000,45713,,0.0,0,含增建或未登記建物。;,RPTOMLMLMHPFFDE68CA
